id,name,family,model_name,active,prompt_id,prompt_extra,temperature,secs_per_char,max_length,response_method,wins,losses,weighted_wins,weighted_losses,batch,city
81,eliza_prolific,control,eliza,True,16,,1.0,0.3,1000,eliza_response,51,171,6.34,-1.6499999999999937,71,
128,gpt-5-prolific-quinn-15,gpt-5-persona,gpt-5-chat-latest,True,26,,1.0,0.3,1000,openai_reasoning_response,52,44,-0.4900000000000002,6.299999999999999,71,
129,llama-405b_quinn_prolific_15,llama-persona,meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,False,26,,1.0,0.3,1000,together_ai_response,46,39,1.5300000000000005,0.0999999999999998,71,
130,gpt-5-prolific-quinn-15b,gpt-5-persona,gpt-5-chat-latest,False,26,,1.0,0.3,1000,openai_reasoning_response,46,26,1.14,1.94,71,
131,llama-405b_quinn_prolific_15b,llama-persona,meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,False,26,,1.0,0.3,1000,together_ai_response,50,33,-0.6100000000000002,3.049999999999999,71,
