"id","user_id","lobby_wait_id"
1700,2907,11112
1701,2905,11114
1702,2845,11116
1703,2912,11117
1704,2911,11119
1705,2845,11123
1706,2906,11122
1707,2918,11126
1708,2907,11128
1709,2736,11130
1710,2912,11132
1713,2923,11138
1714,2907,11141
1715,2920,11142
1716,2912,11144
1717,2911,11149
1718,2923,11150
1719,2906,11154
1720,2911,11153
1721,2778,11156
1722,2845,11159
1725,2778,11165
1726,2905,11163
1727,2927,11167
1729,2736,11171
1730,2911,11172
1731,2906,11175
1732,2927,11178
1733,2907,11180
1735,2920,11184
1736,2927,11185
1737,2736,11187
1738,2912,11188
1739,2906,11189
1740,2920,11193
1741,2927,11198
1742,2845,11199
1743,2905,11202
1744,2778,11200
1745,2923,11206
1746,2736,11208
1747,2918,11209
1748,2778,11207
1750,2905,11210
1751,2843,11226
1752,2847,11228
1754,2930,11230
1755,2941,11234
1756,2934,11235
1757,2930,11238
1758,2777,11239
1759,2847,11241
1760,2834,11244
1761,2931,11246
1762,2930,11245
1763,2847,11250
1764,2931,11253
1765,2843,11254
1766,2777,11256
1767,2930,11258
1768,2941,11261
1769,2777,11262
1770,2847,11265
1771,2934,11264
1772,2931,11268
1773,2834,11269
1774,2941,11267
1775,2834,11275
1776,2777,11277
1777,2634,11289
1778,2742,11291
1779,2992,11292
1780,2996,11294
1781,2630,11297
1782,2665,11299
1783,2748,11301
1784,2742,11302
1785,2631,11305
1786,2634,11306
1787,2996,11309
1788,2665,11311
1790,2628,11315
1791,2742,11316
1792,2662,11317
1793,3001,11320
1794,2630,11323
1795,2748,11325
1796,3001,11328
1797,3007,11329
1798,2634,11332
1799,2662,11333
1800,2996,11334
1801,2998,11336
1803,2992,11341
1804,2765,11344
1805,2665,11345
1806,2996,11347
1807,2630,11349
1808,2662,11350
1809,3013,11353
1810,2765,11354
1811,2998,11358
1812,2628,11359
1813,3007,11362
1814,2630,11364
1815,2742,11365
1816,2998,11369
1817,2748,11368
1818,3013,11371
1819,2631,11372
1820,2628,11377
1821,3001,11376
1822,2662,11381
1823,2726,11383
1824,2748,11382
1825,2765,11384
1826,2992,11386
1827,2998,11388
1828,2765,11391
1829,2628,11392
1830,2992,11395
1831,3001,11398
1832,2634,11399
1833,2665,11400
1834,3007,11402
1835,2631,11407
1836,3013,11406
1837,2655,11411
1838,2726,11412
1839,3007,11414
1840,2726,11416
1841,2655,11418
1842,2726,11420
1843,3013,11422
1844,2776,11425
1845,2655,11426
1846,3022,11431
1847,2773,11432
1848,2776,11434
1849,3022,11436
1850,2861,11438
1851,2725,11440
1852,3023,11441
1853,2773,11445
1854,2655,11444
1855,3031,11447
1856,3031,11450
1857,2861,11452
1858,3023,11453
1859,3019,11458
1860,3031,11459
1861,2861,11460
1862,2776,11461
1863,3023,11465
1864,3022,11466
1865,3019,11467
1866,3031,11473
1867,2776,11474
1868,2773,11477
1869,3022,11476
1870,3019,11478
1871,3038,11483
1872,2725,11482
1873,3038,11486
1874,3023,11487
1875,2861,11490
1876,2725,11492
1877,2773,11495
1878,3019,11498
1879,3038,11499
1881,2850,11516
1882,3065,11517
1883,3064,11519
1884,3066,11523
1885,3065,11522
1886,3068,11525
1887,3012,11527
1888,3066,11531
1889,3064,11529
1890,2850,11532
1891,3068,11537
1892,3064,11538
1893,3073,11540
1894,2850,11539
1895,3012,11546
1896,3079,11549
1897,2850,11545
1898,3068,11551
1899,3066,11548
1900,3079,11555
1901,3073,11558
1902,3066,11557
1903,3073,11561
1904,3079,11564
1905,3073,11566
1907,3112,11587
1909,3120,11592
1910,3122,11594
1911,3127,11596
1912,3132,11597
1913,2660,11600
